,image,image height,image width,image area,damage_labels,red value,green value,blue value,sobel edges avg,sobel edges max,sobel edges min,binary edges avg,binary edges median,bianry edges max,binary edges min
41,41,49,9,441,0,111.13378684807256,119.01814058956916,108.28344671201815,0.06673368095364629,0.3342522531401654,0.0014826840232246411,12.571428571428571,11.0,25.0,0.0
42,42,127,92,11684,0,97.79681615884971,122.29570352618966,116.76788770968847,0.05532249604034918,0.4436265792145697,0.0001593209651447017,15.679133858267717,15.0,25.0,0.0
43,43,71,115,8165,0,126.31243110838946,148.13202694427434,150.5491733006736,0.052265276625537885,0.45229324657558784,0.0,15.988487446417636,15.0,25.0,0.0
44,44,157,153,24021,0,87.04904042296324,104.95345739144915,98.01881686857334,0.042976800654106834,0.46047555174593036,0.0001533593140317972,16.049456725365307,16.0,25.0,0.0
45,45,211,176,37136,0,79.29628931495046,96.78446790176648,93.80743752692806,0.04070278841273781,0.39504981072360806,0.0001414868592276343,16.524962300732444,19.0,25.0,0.0
46,46,42,36,1512,0,110.1686507936508,126.82870370370371,134.21693121693121,0.055138083629607884,0.3851712852864897,0.0006411895198648373,15.372354497354497,15.0,25.0,0.0
47,47,108,94,10152,0,89.06185973207249,110.11603624901497,110.40455082742317,0.04935961286993421,0.35089363459275286,0.00021814256437688244,15.210303388494879,14.0,25.0,0.0
48,48,148,102,15096,0,123.83949390567038,136.35419978802332,130.75543190249073,0.05005348694874245,0.32272145799789576,7.450496630325711e-05,15.850291467938527,15.0,25.0,0.0
49,49,30,29,870,3,70.92068965517241,82.95632183908046,74.40574712643678,0.035583946315616746,0.17618140859461026,0.0008877337674269459,15.455172413793104,15.0,25.0,0.0
50,50,158,110,17380,0,81.37842347525891,99.16121979286537,93.12853855005754,0.042288579249501995,0.318271309184098,0.00025449569811960914,15.982508630609896,16.0,25.0,0.0
51,51,32,29,928,0,109.27262931034483,135.58620689655172,147.6885775862069,0.029616738587265132,0.1452203287117396,5.395230852833779e-05,14.43426724137931,13.0,25.0,0.0
52,52,143,112,16016,0,71.16926823176823,96.06918081918081,89.24681568431568,0.04550347911483354,0.41761215272400504,0.0002121298821233407,16.270791708291707,18.0,25.0,0.0
53,53,118,133,15694,0,92.54625971708933,113.37804256403722,116.1679622785778,0.042472108204293625,0.27586077302810763,7.068627450981108e-05,16.3651076844654,16.0,25.0,0.0
54,54,22,30,660,0,95.45,117.38636363636364,117.1,0.04659267622359766,0.18702094264314345,0.0005892556509888031,14.77878787878788,14.0,25.0,0.0
55,55,83,103,8549,0,83.23347759971927,110.85074277693298,115.05509416306,0.04254471847177937,0.22032481833684425,1.9626155733547187e-17,15.859983623815651,16.0,25.0,0.0
56,56,89,110,9790,0,84.14525025536261,110.39346271705823,97.52921348314607,0.05396314808863432,0.48103525204272163,0.0,16.07844739530133,17.0,25.0,0.0
57,57,124,130,16120,0,88.8402605459057,108.91129032258064,106.85024813895781,0.04289648181233842,0.3343160120197811,8.044384995135447e-05,15.981575682382134,15.5,25.0,0.0
58,58,105,105,11025,0,65.49151927437642,90.50548752834467,81.66766439909297,0.03854209736365467,0.24293820079402198,0.00019993097617079501,16.049795918367348,17.0,25.0,0.0
59,59,110,117,12870,0,81.77000777000777,96.25407925407926,90.46666666666667,0.04359638011150332,0.5157029097442957,6.76189910512206e-05,16.015462315462315,16.0,25.0,0.0
60,60,143,213,30459,0,116.66052726616107,137.38169342394696,142.77070816507435,0.04158275149184517,0.3846326580056342,0.0,16.181818181818183,16.0,25.0,0.0
61,61,127,131,16637,0,110.15916331069303,127.05331490052293,118.25016529422372,0.04672424700885485,0.3986325381881851,0.0,16.367133497625773,17.0,25.0,0.0
62,62,32,6,192,0,74.80729166666667,96.16145833333333,90.25520833333333,0.050849736843266435,0.22961910200023194,0.0020903554734500204,10.557291666666666,8.0,25.0,0.0
63,63,37,38,1406,3,78.08108108108108,92.09032716927453,87.33428165007112,0.04205628236030488,0.3367316893722214,0.00015805931488013268,15.300853485064012,15.0,25.0,0.0
64,64,143,139,19877,0,97.21245660814006,120.17281279871207,117.79026009961262,0.053663512574837854,0.5532276920787461,0.0002171220040184237,16.006439603561905,16.0,25.0,0.0
65,65,21,33,693,0,102.11399711399712,133.75757575757575,152.46176046176046,0.04924615125270027,0.20016023820704817,0.002192223507352746,13.88888888888889,13.0,25.0,0.0
66,66,79,123,9717,0,97.54039312545024,118.6506123289081,111.90274776165484,0.05172266475798565,0.320749961323405,0.0001973142428184954,15.68488216527735,15.0,25.0,0.0
67,67,109,120,13080,0,75.5151376146789,93.93906727828747,89.49617737003058,0.038849316434278726,0.2968796171742373,4.209982461468042e-06,16.068195718654433,17.0,25.0,0.0
68,68,136,136,18496,0,61.130676903114185,86.12413494809688,77.8094723183391,0.0399144268831594,0.32732849655048124,0.00027581008571717395,15.742322664359861,16.0,25.0,0.0
69,69,47,42,1974,0,72.12613981762918,96.43161094224924,94.7532928064843,0.03364949367565271,0.1511635112596668,0.00010406399784665379,15.713779128672746,17.0,25.0,0.0
70,70,52,72,3744,0,99.24439102564102,131.62179487179486,133.15357905982907,0.042994606167600535,0.20184082283377777,6.367275344245588e-05,15.602564102564102,15.0,25.0,0.0
71,71,152,146,22192,0,94.24459264599855,111.91321196827685,106.6177451333814,0.040233025597995915,0.45682173311899926,0.00013764705882357564,15.831065248738284,16.0,25.0,0.0
72,72,88,98,8624,0,77.00846474953617,100.7916280148423,93.68251391465677,0.04537780604476243,0.3826832849100271,4.906538933386797e-18,16.043251391465677,17.0,25.0,0.0
73,73,54,45,2430,0,83.26748971193416,107.92263374485597,103.15514403292181,0.036697655803137844,0.18200520084189,0.00025236263445593035,14.64650205761317,13.0,25.0,0.0
74,74,218,156,34008,0,80.22162432368854,108.88949658903788,104.65602211244413,0.04037653198478579,0.4093454488769864,7.13101025028078e-05,16.040049400141143,17.0,25.0,0.0
75,75,50,31,1550,0,107.34774193548387,130.12193548387097,132.8174193548387,0.05807564867448341,0.3585589492421999,0.0,15.380645161290323,15.0,25.0,0.0
76,76,98,123,12054,0,116.58710801393728,129.94101543056246,122.17512858802057,0.0526243745659165,0.36040320046674185,0.0001530701128198053,16.038742326198772,15.0,25.0,0.0
77,77,268,105,28140,0,78.70945273631841,96.0135039090263,93.43969438521677,0.03364844436206863,0.46955209558192657,9.40691255644927e-05,16.40273631840796,18.0,25.0,0.0
78,78,22,161,3542,0,104.21626199887069,135.38339920948616,142.2439299830604,0.0396420355485659,0.296881925838313,0.00027733110761798404,15.599943534726144,15.0,25.0,0.0
79,79,34,33,1122,0,102.4162210338681,116.58645276292336,116.32620320855615,0.04693590194532501,0.22284452908483338,0.0009997197319667485,16.046345811051694,20.0,25.0,0.0
80,80,97,133,12901,0,110.83915975505775,132.93124563987288,126.70304627548252,0.05841548753692926,0.4420597450723461,0.00020091689575634875,15.361444849236493,14.0,25.0,0.0
81,81,221,152,33592,0,82.7091867111217,101.82019528459156,91.2918552036199,0.03744750456720052,0.5100759622065653,0.00014148685922765647,16.628482972136222,19.0,25.0,0.0
82,82,39,35,1365,0,76.22930402930403,95.13186813186813,94.88131868131867,0.062123060378807195,0.30039504679824025,0.0011294915889547134,15.693772893772893,19.0,25.0,0.0
83,83,127,98,12446,0,93.03406717017516,111.67804917242488,114.16864856178692,0.0329880027930446,0.36932698435492467,9.813077866773593e-18,16.22071348224329,17.0,25.0,0.0
84,84,103,110,11330,0,101.26593115622242,121.06522506619594,115.67652250661959,0.0472310469597174,0.31515849852490735,8.978904320625261e-05,15.65233892321271,15.0,25.0,0.0
85,85,66,98,6468,3,76.22371675943104,95.51190476190476,93.72881880024737,0.035296208223958264,0.19561075571060302,0.0001999309761707754,16.049628942486084,18.0,25.0,0.0
86,86,128,91,11648,0,99.45527129120879,119.95758928571429,116.66595123626374,0.04619458081835287,0.5544477062030655,0.00013392156862744584,15.862465659340659,15.0,25.0,0.0
87,87,24,31,744,0,115.85483870967742,142.0470430107527,156.28763440860214,0.0702006234278997,0.2531319803899272,0.002967394031071649,16.385752688172044,23.0,25.0,0.0
88,88,214,279,59706,0,72.37942585334807,93.52535758550229,86.50373496800991,0.03172872654471527,0.4353132087176587,1.9626155733547187e-17,16.80584865842629,20.0,25.0,0.0
89,89,37,47,1739,0,119.86313973548016,137.5629672225417,136.87176538240368,0.0644324632784722,0.3525204112383943,0.0004453854561351297,14.58769407705578,13.0,25.0,0.0
90,90,86,48,4128,0,100.03125,111.75339147286822,105.35925387596899,0.04723900811679848,0.36696504321213835,0.0002887304004376209,16.080668604651162,16.0,25.0,0.0
91,91,51,148,7548,0,79.32299947005829,99.15355060943297,92.9871489136195,0.03971838817006035,0.3381412483844816,0.00020863291032957086,16.33359830418654,19.0,25.0,0.0
92,92,70,96,6720,0,75.4764880952381,98.63244047619048,92.92842261904762,0.039196605974348694,0.24816857948716048,0.00013769746577179407,16.25,18.0,25.0,0.0
93,93,225,257,57825,0,89.07401642888024,113.41518374405534,111.3983225248595,0.03786520629656214,0.36670031542038756,8.330449327931079e-06,15.796800691742327,15.0,25.0,0.0
94,94,83,120,9960,0,83.95240963855422,105.24538152610442,94.38463855421686,0.03669699696837477,0.3002311043648913,0.00030912521834225703,15.969779116465864,16.0,25.0,0.0
95,95,63,80,5040,0,150.19722222222222,165.52123015873016,158.69345238095238,0.06459141558813702,0.37787931739134545,0.0002868775042106681,15.626984126984127,14.0,25.0,0.0
96,96,42,63,2646,0,69.1379440665155,86.41572184429327,72.3790627362056,0.04289275931829238,0.26575661034304054,0.0002973113208914,16.320483749055178,20.0,25.0,0.0
97,97,109,117,12753,0,71.59523249431507,94.277816984239,87.02626832902062,0.046657496697066675,0.5868910240650507,0.0002753193245820099,16.147965184662432,17.0,25.0,0.0
98,98,118,139,16402,0,112.41879039141568,132.31618095354224,126.47433239848799,0.04635807584513635,0.35197319541548083,0.00015473610505259164,15.753688574564077,15.0,25.0,0.0
99,99,41,69,2829,3,91.74266525273949,111.16260162601625,111.59278897136798,0.044505639053927154,0.23266682720927637,0.0006400980392156502,15.585719335454224,16.0,25.0,0.0
100,100,128,150,19200,0,95.47729166666667,114.21098958333333,107.58265625,0.04305924477186539,0.5044420130160401,0.0,16.98046875,20.0,25.0,0.0
101,101,117,113,13221,0,90.37092504349141,117.9117313365101,114.70630058240678,0.03727307626468408,0.31333220737303524,7.068627450979025e-05,15.617578095454201,15.0,25.0,0.0
102,102,35,31,1085,0,93.88110599078341,115.50230414746544,110.87004608294932,0.04245755838351586,0.276108374630958,0.001406470588235259,15.262672811059907,15.0,25.0,0.0
103,103,184,112,20608,2,86.29556482919254,104.98811141304348,101.18929541925466,0.03952218205776527,0.26098078252125306,0.0002550079907682097,16.084821428571427,17.0,25.0,0.0
104,104,91,144,13104,0,95.07364163614163,108.61416361416362,101.91636141636141,0.04915451912901867,0.3593620468998595,3.725490196053449e-06,16.179945054945055,17.0,25.0,0.0
105,105,20,21,420,0,113.03571428571429,141.3047619047619,147.9952380952381,0.054724840788770004,0.20518074032591854,0.002243708913942181,13.314285714285715,12.0,25.0,0.0
106,106,97,102,9894,0,107.0613503133212,130.71356377602586,132.0333535476046,0.051206485998671815,0.35534884475290496,1.9626155733547187e-17,15.214877703658782,14.0,25.0,0.0
107,107,247,296,73112,0,85.16500711237553,103.2229319400372,101.35312944523471,0.03310809983053061,0.39351861263023924,2.194270917860438e-17,16.500191487033593,18.0,25.0,0.0
108,108,214,167,35738,0,69.39960266383122,93.91896580670435,84.59049191336952,0.03838749766875918,0.3672920647919722,8.067537390928772e-05,16.156723935306957,17.0,25.0,0.0
109,109,115,129,14835,0,105.75760026963262,126.41274014155712,119.19777553083924,0.0578420789759868,0.4332146190866688,0.0002182378926258486,15.28958543983822,14.0,25.0,0.0
110,110,120,139,16680,0,84.40677458033574,106.58926858513189,99.26576738609113,0.044910003018237915,0.5175106279932583,0.0001985493333021171,16.21966426858513,17.0,25.0,0.0
111,111,21,41,861,1,74.55981416957027,91.91521486643438,84.95934959349593,0.03296883033639305,0.1358863880854759,0.0001999309761707754,15.290360046457607,16.0,25.0,0.0
112,112,136,146,19856,0,60.88043916196616,91.12515108783239,78.12630942788074,0.03177672162303464,0.22974720896268522,0.00016149784881255738,16.290239726027398,18.0,25.0,0.0
113,113,22,42,924,0,104.29004329004329,132.97943722943722,132.94805194805195,0.08065322491410433,0.36565782627201526,0.002782555978234906,14.582251082251082,13.0,25.0,0.0
114,114,110,168,18480,0,93.2448051948052,115.62175324675324,109.99339826839827,0.0409558101681716,0.27827189152110976,0.0,16.18073593073593,17.0,25.0,0.0
115,115,88,92,8096,0,76.6578557312253,93.45368083003953,89.1157361660079,0.03720042374662225,0.24905747455589586,0.0,16.08880928853755,17.0,25.0,0.0
116,116,53,161,8533,3,80.18012422360249,99.59838274932615,101.75764678307746,0.04078411440540127,0.34300648338636225,7.264705882353145e-05,16.813898980428924,21.0,25.0,0.0
117,117,155,98,15190,0,74.23752468729427,93.4916392363397,79.55181040157998,0.04884076288547459,0.5837843727308172,0.00019897432596037873,16.373996050032915,19.0,25.0,0.0
118,118,121,86,10406,3,108.09446473188545,129.03219296559678,129.0842783009802,0.04564452688386989,0.29344929638417266,8.33044932789384e-06,15.98990966749952,18.0,25.0,0.0
119,119,168,262,44016,0,66.70974191203199,84.7260314431116,83.24320701563067,0.03737978518008091,0.4641490210955405,0.0,17.37170574336605,21.0,25.0,0.0
120,120,87,81,7047,0,98.06215410813112,117.61416205477508,120.21271463033915,0.04099019007079286,0.42415116770568895,1.9626155733547187e-17,15.592166879523202,14.0,25.0,0.0
121,121,102,151,15402,0,54.85164264381249,77.75840799896118,67.74237112063368,0.03335369021296254,0.21428182895993403,0.00016162397324473348,16.279898714452667,18.0,25.0,0.0
122,122,42,52,2184,0,92.36996336996337,115.73031135531136,110.36858974358974,0.06888153438481345,0.4326307410705821,0.0004432166443721372,14.758699633699633,13.0,25.0,0.0
123,123,49,96,4704,0,99.46003401360544,114.83163265306122,106.57036564625851,0.0573910505526167,0.5931866851189941,0.0,16.792729591836736,21.0,25.0,0.0
124,124,197,228,44916,0,74.93525692403598,104.9184700329504,99.98811114079615,0.036935487145552746,0.4093454488769864,7.13101025028078e-05,15.896696054857957,16.0,25.0,0.0
125,125,17,20,340,0,186.24117647058824,191.96764705882353,170.28529411764706,0.1628705791833047,0.46149791042396116,0.0,13.652941176470588,12.0,25.0,0.0
126,126,20,82,1640,0,104.69146341463414,126.20853658536585,123.65609756097561,0.04889493842221805,0.17109422333386365,0.0008354554812838323,14.30609756097561,13.0,25.0,0.0
127,127,139,64,8896,0,91.06351169064749,111.24943794964028,100.37252697841727,0.04849577066910491,0.33469934751781977,0.00027727993064497765,15.696830035971223,16.0,25.0,0.0
128,128,82,75,6150,0,67.7650406504065,95.7749593495935,88.62975609756097,0.03554445537757812,0.24759281173646355,0.00013040910991070066,15.83739837398374,16.0,25.0,0.0
129,129,56,48,2688,3,85.76822916666667,101.60044642857143,99.12127976190476,0.046274247781069575,0.2937422619427772,0.00025780393722752153,15.666294642857142,15.0,25.0,0.0
130,130,110,123,13530,0,83.69526977087952,104.21345158906135,97.48580931263858,0.041337857463791566,0.3800305187436361,0.00010263362085941608,15.932594235033259,16.0,25.0,0.0
131,131,63,80,5040,0,89.32956349206349,119.10853174603174,124.45138888888889,0.04760520095100208,0.31591771429185944,0.0009194189048769492,14.123214285714285,13.0,25.0,0.0
132,132,45,43,1935,0,72.13385012919896,91.8454780361757,89.80775193798449,0.033723161374929596,0.15652216671956307,0.00038459354808917335,15.880103359173127,19.0,25.0,0.0
133,133,288,688,198144,0,104.2701671511628,126.43415899547804,126.66663638565892,0.029396910807883297,0.3314436359376011,0.0,16.961255450581394,20.0,25.0,0.0
134,134,97,105,10185,0,106.14590083456063,130.62199312714776,133.30662739322534,0.05174597075543035,0.35534884475290496,0.00019993097617074595,15.216887579774177,14.0,25.0,0.0
135,135,172,128,22016,0,98.51939498546511,120.59761082848837,120.3562863372093,0.05022007211425958,0.4303748044358709,7.264705882353145e-05,16.1612917877907,17.0,25.0,0.0
136,136,107,101,10807,0,72.30841121495327,92.42565004163968,90.22763023965948,0.04263583235455382,0.3108095327066381,0.0001564287193970766,15.810400666234848,16.0,25.0,0.0
137,137,206,336,69216,0,101.93020399907536,122.17259015256587,124.46041377716135,0.04752068399328085,0.5773861264270942,6.458552383084238e-05,16.226392741562645,16.0,25.0,0.0
138,138,68,33,2244,0,62.68716577540107,74.21033868092691,70.9416221033868,0.03574434436696852,0.1942697986909933,0.0001999309761707754,15.722816399286987,18.0,25.0,0.0
139,139,125,132,16500,0,94.81945454545455,118.87896969696969,122.98509090909091,0.0466060550994388,0.3859361910688227,0.00015654600374319288,15.814969696969698,15.0,25.0,0.0
140,140,88,116,10208,0,76.91261755485894,99.17309952978056,94.55260579937304,0.041022946351233776,0.31265159616308325,9.736681179942803e-05,16.738832288401255,21.0,25.0,0.0
141,141,114,104,11856,0,107.14397773279352,131.94458502024293,127.77496626180837,0.048268228364017604,0.5538368107315368,0.00015473610505257896,16.117999325236166,16.0,25.0,0.0
142,142,98,94,9212,0,97.91011723838471,121.03766825879288,117.89090316977855,0.04936747460247815,0.42438043733229486,6.500000000003031e-05,15.476877985236648,15.0,25.0,0.0
143,143,143,126,18018,0,81.6051171051171,106.14590964590964,108.73415473415473,0.04256536067411739,0.3976536203152283,0.00015728793477318682,15.632534132534133,15.0,25.0,0.0
144,144,87,88,7656,3,78.09391327063742,92.47479101358412,89.43338557993731,0.038707531383332966,0.21174151902167124,7.156439686663985e-05,16.509665621734587,20.0,25.0,0.0
145,145,107,129,13803,0,83.13931753966529,104.2716800695501,97.33811490255742,0.039972353627740084,0.36085219909776745,1.1372549019610101e-05,16.552705933492717,19.0,25.0,0.0
146,146,21,37,777,0,130.83268983268982,147.44272844272845,150.62419562419564,0.09322606358085542,0.32895452350694093,0.0009919798726115041,14.014157014157014,13.0,25.0,0.0
147,147,141,72,10152,0,96.08796296296296,112.6362293144208,111.25620567375887,0.046791151808006824,0.3610347569346736,0.00028274509803920267,15.37992513790386,15.0,25.0,0.0
148,148,26,21,546,0,92.71062271062272,117.41941391941391,128.2930402930403,0.04835108315065664,0.21275352673589712,0.0018628571947695005,13.712454212454212,12.0,25.0,0.0
149,149,34,30,1020,0,120.41666666666667,143.1578431372549,137.24803921568628,0.06665789019671764,0.3173649074454582,0.00019993097617074595,12.92156862745098,11.0,25.0,0.0
150,150,100,131,13100,3,97.59022900763358,119.61908396946565,124.18358778625954,0.045185632084107585,0.4766968841237128,9.354739416890099e-05,16.402824427480915,19.0,25.0,0.0
151,151,85,34,2890,0,68.74186851211073,93.00449826989619,85.58719723183391,0.04039284102958998,0.26472649331947284,0.0006430241561243702,15.320069204152249,15.0,25.0,0.0
152,152,228,298,67944,0,113.92181796773814,134.64821029082773,135.83458436359354,0.03483902340842952,0.41865136820858706,6.7980140483863284e-06,16.3737048157306,17.0,25.0,0.0
153,153,77,112,8624,0,103.34485157699443,118.5069573283859,111.48423005565863,0.04997970766419986,0.4978443019079311,0.00015805931488010162,16.10493970315399,17.0,25.0,0.0
154,154,104,144,14976,0,85.17908653846153,102.22315705128206,99.28912927350427,0.04859789521701984,0.534245531466413,0.0,16.459468482905983,17.0,25.0,0.0
155,155,35,34,1190,0,104.5890756302521,118.4109243697479,114.77058823529411,0.06723149922464651,0.44472160450197734,0.00021218968340965867,14.930252100840336,13.0,25.0,0.0
156,156,53,35,1855,0,85.23126684636118,107.28517520215634,105.4021563342318,0.05202633000065214,0.20447374208207675,0.00031225267029085673,14.180592991913747,12.0,25.0,0.0
157,157,84,89,7476,0,80.96709470304975,99.47913322632424,96.5880149812734,0.03728331994498569,0.3103318240189728,0.0,16.48354735152488,18.0,25.0,0.0
158,158,98,86,8428,0,86.6014475557665,110.24620313241576,109.91006169909825,0.049501727429132426,0.43982578087413177,0.00012648289953757212,15.78701945894637,16.0,25.0,0.0
159,159,83,51,4233,0,81.84927947082447,102.35223245924875,103.00944956295771,0.032120131619076384,0.21387501959577562,0.0004930392156862751,15.606661941885188,16.0,25.0,0.0
160,160,57,64,3648,3,56.48053728070175,76.765625,61.63212719298246,0.04057410929138046,0.22119006019058488,9.99654880853926e-05,16.023848684210527,19.0,25.0,0.0
161,161,91,47,4277,0,86.34299742810381,117.89408463876549,111.84802431610942,0.04141436767282104,0.30638532358528253,0.0004930532907117829,14.863689501987375,14.0,25.0,0.0
162,162,159,215,34185,0,85.9514114377651,111.20743015942665,111.36963580517771,0.03769609932385706,0.3652524485981305,0.00010406399784663495,15.728126371215446,15.0,25.0,0.0
163,163,158,155,24490,0,97.6476929358922,127.97174356880359,128.22850142915476,0.04022791488823684,0.35091833590646876,0.00012933962635848726,15.979583503470804,16.0,25.0,0.0
